text,gender,age,sarcasm
"Экий Вы законопослушный, Денис Батькович... Систему троллите. Устои расшатываете... Хотя, дача, это святое... Там - воздух...",2,50,1
"запретить себе, тебя любить... не могу я это сделать, не могу))))",2,24,0
"user, в психиатрических клиниках...Вообще-то ваши аргументы прям убийственны..аж с ума сойти хочеться..",2,43,1
"Тимофей, а можно на вэбминерал кроме фрагмента вещать и общую фотку штуфа, по моему будет более информативно (предыдущего вопроса бы не было) , а так удачная работа, мне очень нравиться. Надо будет у Инны разузнать куда там свинец в кальцит за лазит.",2,49,0
"user, что правда? Что на биатлоне были косяки?) господи ) удивили) или вообще где то бывают казусы и сбои? - в каждой армии мира емае) абсолютно тупой загон)",2,23,1
"Специально для Вячеслава Рыжова. Вы по-прежнему считаете, что в затяжной войне на Донбасса виноват Порошенко?",2,59,0
"о Боги, она ответила на мое сообщение! Спасибо вам, милостевые! какое же испытание предстоит мне??",1,20,0
"user, Ну в нашем районе так, в Карелии. Каждый сезон по два три клеща снимаю. Ничего странного.",2,31,0
"user, кстати, при сильных и постоянных головных болях по вечерам, психологи рекомендуют прикладывать к голове итальянские сапоги...вот только с размаху или с оттяжкой...",2,50,1
"Действительно, ""что за народ?"" Автор предостережение написал для ""ШирНарМассы"" - она же такая тупая, что без этого автора не дотумкает, где мухи и где котлеты, не разберётся по темноте и убогости своей, потому и посвятил сей автор три четверти своей статьи шельмованию литературного таланта писателя... Ладно, Бог ему судья, на мой, субъективный взгляд, лучшую оценку покойному писателю дал Виктор Шендерович - ни убавить, ни прибавить.",2,58,1
"Andry, да да я и ребятам сказал они не хотят а я пойду",2,33,0
А Я БЫ ХОТЕЛ РАЗ В ГОД СЪЕЗДИТЬ НА МОГИЛУ ТЁЩИ . НО НЕТ . НАША ДОСТОЙНАЯ ЗАРПЛАТА НЕ ПОЗВОЛЯЕТ .,2,58,1
Автору мы с сыном лежали на горбухе с токой же проблемой только он проглатил 2 и 1 рубль в пять лет все само вышло через жопу как полагается,2,33,0
"Спасибо большое за комплект постельного и бортики. Наборчик получился чудный! Всё очень качественно и красиво. Стирали уже несколько раз: ничего не полиняло, не распустилось. Как новенькое. Учли все предпочтения и постарались сделать максимально близко к желаемому.",1,32,0
мы все источаем дух безумства. ДУХ СВОБОДЫ!!! РОКИНРОЛЛ - ЭТО СВОБОДА!!!,2,22,0
"user, на фото не видно, потому что эта композиция смешалась с задними, а на самом деле они там хорошо стоят, там есть и три доминанты, и нижний ярус, и движение. Ну надо это вживую смотреть..",1,29,0
"вот и опять заходил лично 17 минут назад... значит сайт живет! Одно меня волнует, а где еженедельные брифинги пресс-секретаря? о работах проделанных администрацией за неделю и Валентином Олеговичем лично. Это бы ему разгрузило массу времени и позволило бы сосредотачиваться НА ГЛАВНОМ! Конечно такая инфа от пресс-секретаря должна быть на официальном сайте Администрации Хакасии",2,70,0
"user, зато хочется разбить ебало тем чмошникам, которые в помещении портят воздух. И нет, это точно такое же курение с таким же вредом для организма, как для своего, так и для окружающих. И да, зомби с электродымогенератором люди не любят, не утешайте себя.",2,21,0
"user, мне тоже очень нравится, яркая такая фотка) сразу видно, что я - мастер фотографии",1,28,0
"user, да я уж наверно все существующие ролики про енотов видел :D",2,23,0
"не Mu, а My. и не babu, а baby. Английский учи, ага)*",1,15,0
"Спасибо! Сюрпризы, как всегда, имеют место, и некоторые из них можно отнести к разряду приятных. Процессор вот новый подарили, а то старый я угробила столь качественно, что восстановлению он не подлежал, и месяц с гаком я была безлошадная!",1,67,0
"user, а мне что сделать с прической. а то анонимы бушуют против кудрях. /вариант постричь на лысо - не канает/",1,36,0
">Тут и правые со мной согласятся Ну, фашня-то всякая да монархизды - наверняка. Но они и так с леваками братья по разуму, открыл Америку, блин.",2,26,1
"Это-то понятно, что по комиксу) Но я имею в виду именно реализацию фильма. Еще ни один комикс так потрясающе не экранизировали.",2,21,0
"Администрация видит нарушения и даже пальчиком не погрозила... Сама там прохожу и мысли о том же, особенно по утрам при виде мам с колясками и детьми.",1,58,0
"user, я армянин и ростовчанин.) Если нужна помощь в Ростове-на-Дону, пишите в личку.",2,61,0
"Привет, OVER, ты случайно не знаешь, когда выйдет второй сезон ""No game no live""?",2,28,0
"Моя девочка❤ Сразу заподозрила, когда объявили, что ее не будет на семейном концерте. Скоро мои уши окажутся в раю",1,21,0
"Костя, обзоры то собираешься вообще снимать? Назвался бы offroad каналом тогда, одни грязи на каналах!",2,21,0
"user, есть маленькая часть Российской Империи, Великое Княжество Финляндское, которое, совсем без нефти и газа, в 2009 году признано самым процветающим государством в мире. Так что всё дело - в тухлой мумии, уссатом ублюдке сралине и их духовном наследнике пукене. ЗЫ: ""пукен-либерал"", это такой же смешной анекдот, как анекдот совковых времён ""еврей-дворник"". Стихия рынка и прорвала дамбу, в 90-е, а сейчас пукен старательно её чинит.",2,54,0
">слова гения Потому что если ты учёный-физик, то ты автоматически эксперт по всем вопросам бытия, ага-ага.",2,27,1
"user, ууууууииииииии)))Спасибо Клееещ)))))))))) Посмтри весь сет у меня на странице, просто слов нет))))))",2,20,0
"user, о даааа, было бы шикарно....может что то вроде девишкника устроем???",1,20,0
"user, ага, даже одну такую знаю. Счас в ывроппах, бизнесменша.... И да, проданая бабушкина трешка на Крещатике и за несколько лет до того четыре года сидения на доходах мужа пока шла учеба, и кой-какие связи матери и отца, посадившие на перспективное место в министерстве внешней торговли тут тоже не при чем....",2,41,1
"user, пфф, деловая такая что ли, ты сама начала этот срач в комментариях и продолжаешь",1,24,1
"user, старшая говорит - папа, ты красавец. Хорошо ещё не накрасили",1,30,0
"user, с новым годом, творческих полётов -удач и успехов во всём!)",2,53,0
"Спасибо. Оказалось, что мне очень нравится не только получать подарочки, но и дарить!!! Такое непередаваемое чувство удовольствия, особенно если видишь, что твой подарочек пришелся по душе!!!",1,33,0
"нет, я новое качаю иногда, если заинтересует, запущу пару раз и удалю. потому что места нет. ну в принципе ты почти прав, проблема частично в компе)",2,24,0
"Блин Дима, даже не знала что у вас уже двое))). Беру свои слова обратно. Молодец!!!",1,36,0
"базар петуха меня не впечятлил, спархни на парашу в своё привычное место обитания ахах)",2,24,0
"user, и не говори это еще как посмотреть магазин еще и очень близко к дому",1,35,0
"user, вам такие выводы то же по почте пришли? слива не будет потому что аудитория Старикова это думающие и читающие люди, которые умеют анализировать и думать своей головой, а не слепо верить письмам, которые кстати получили абсолютно все будь то члены партии или сторонники.",2,32,0
"За двести мильонов Россия Жидами на откуп взята - За тридцать серебряных денег Они же купили Христа. И много Понтийских Пилатов, И много лукавых иуд Отчизну свою распинают, Христа своего продают. Стучат и расходятся чарки, Питейное дело растёт, Жиды богатеют, жиреют, Болеет, худеет народ. Стучат и расходятся чарки, Рекою бушует вино, Уносит деревни и сёла И Русь затопляет оно. (Толстой А. К. Стихотворения. М., 2001. С. 40 - 45.",2,59,0
"Может, всё-таки реальные выборы вернем, чтоб не один чел.за все отмазывался, бедняжка... Я тоже хочу отвечать за тех, кого приручил( вроде по конституции должен, почему не чувствую? Странно..).",2,38,1
"user, ну в данном случае к нацизму близок скорее ты,чем я.Выкручиваться и срать из-за угла-это твой удел.",2,27,0
"Кошерно , мы и христианских детей хуярим , пьем их кровь и делаем из них мацу , но это только в праздник",2,24,1
"Жаль, что он не смотрел новости. В Америке ураган. По-любому ведь это происки Путина))",1,38,1
"Спасибо вам, автор за хороший отзыв! Очень хотела сходить, но не получилось! Благодаря вам многое стало понятно о спектакле и о нашей публике ( ничего не поменялось)!",1,42,0
Скорее за Путина. Только свисни что Вова будет президентом Украины так 99 % проголосует,2,50,0
типа того)) ну и ты ебать какая радостная сожрала сий дар за обе щеки))),2,23,0
"user, но они вам не дают договорить. Я понимаю, лимит времени...",1,59,0
Прикольно. Вот как надо мифологию обосновывать. Было же сказано про кролика - так вот же он!,2,31,1
"прошла плановая встреча с ""любимыми"" родственниками, да и так по мелочам накопилось",1,20,1
"В Вознесенский район сьездите посмотрите и выложите фото какие дороги в населенных пунктах:с.Бахтызино,с.Сарминский майдан,д.Починки,с.Полховский Майдан.А не показуху что вы выкладываете.Реальные проблемы надо поднимать,а где сделали дороги люди и без фото оценят!Зато национальный проект ""Безопасных и качественных автомобильных дорог"" в 2020г.где он этот проект?В Афонина если только.",2,32,0
"Микроволновка убивает все полезные вещества. То есть еда становиться пустой, лишенной полезного, но и вредного кстати тоже. Ребенку ни когда не разогреваю в ней ничего. И себе только в острой необходимости",1,26,0
Так вот кому досталась вся гроза! В следующий раз поделитесь молнией - двумя),1,26,0
"Прекрасно! По истечении этого времени, пусть ещё лет на 5 перенесут)",1,32,1
"user, щас пойду спрошу у искромтных ментов искромтную шутку спешл фо ю. Сиди жди",2,22,1
бля у меня разрыв сердца бы произошел еслиб я увидела такое живую,1,18,0
Я б к тебе на консультацию моего мужа отправила. тет-а тет пойдет как миленький)))И тебе я доверяю.,1,42,0
ЭТО не правда.праздник этот был в ЛИДИНСКОМ Д.К. И КАВЕЦКАЯ к этому не имеет никакого отношения .,1,61,0
"Действительно, почему бы и нет? А еще можно трахать овец и коз, а также сжигать людей в ивовых клетках......",2,23,1
"У меня тетя в аптеке работает,всегда у нее спрашиваю прежде чем купить дорогое лекарство,зачастую есть аналоги их и беру",1,31,0
"Ваще вкусно , только где тарелочка со свежим маслом Рапса или оливковым хотябы, помокать в масло с перчиком и солькой капусточку !!!",2,115,0
Ох не люблю всех этих тварей))у нас на даче осы в этом году гнездо свили у окна.тоже с ними сидели.,1,26,0
"user, а вам дерматолога по комиссии назначали проходить? Сколько дерматолог стоит? Спасибо)))",1,38,0
"[club51812607|Наш Футбол], Почему вы не выкладываете статистику второго тайма, ну или сразу общую статистику матча?",2,22,0
"Ирина, а это потому, что мы все крещеные, но по какой то заколдованной тупости голосуем за светское государство. Результат закономерен.",2,44,0
"user, за счёт уходящих в блок?) скорее вы сейчас к себе стараетесь внимание привлечь на моей странице. Если уйдёте в блок, то явно не из-за меня Успешной работы",1,36,0
"user, да нет, не все. Я вчера ездила в салон платьешки мерить. Не нравится то, что они все на более высокий рост, конечно они под меня его подделают потом, но когда меришь платье и еще метра пол по полу болтается, сложно представить, как оно реально буде на мне смотреться ))",1,25,0
Диагноз : человек недалёкого ума. В простонародье : дура. Такой диагноз не излечим!,1,57,0
"Ура!!!! Natalia, поздравляю!! Действительно отличные новости! Пусть у них все сложится!",1,53,0
"user, ну ладно с оккупацией Крыма все понятно,а как вы относитесь к ""Хизб ут-тахрир""?",2,32,0
"Живу в семхозе , и до сих не приятен данный круг , и тут дело даже не в скорости , а в рельефе , кольцо находится на возвышенности , из за этого его сложно разглядеть и уж тем более предвидеть, особенно когда едешь со стороны капы",2,24,0
"Павел, начнем с того, что все они начинали своё обучение с рисования реализма и академического стиля. И это не вопрос веры. Время тут не самый главный помощник, человек может хоть днями и ночами рисовать, но в определенный момент без изучения анатомии и тд он перестанет прогрессировать",1,19,0
Кормовой подсолнечник и кукуруза...в европе 30-40 % урожая погибло ......Хохлы добились своего...теперь как и эвропа начнут зерно импортировать .....не зря скакали ... ахрарная житница СССР млять ...,2,42,1
"Елена, если бы там было что то криминальное то тут же слетела СК и ФСБ. Миллиарды это смешно. 3 млн баксов. Столько квартира в Москве стоит. У Захарченко на хате 2 млрд.баксов изъяли. И учитывайте что он пережил шесть попыток редерских захватов. Детский сад.",2,50,0
"user, вы все равно меня не возьмете :-P так,что ОЙ ВСЕ!)",2,23,0
"user, во всем виноваты Половцы и Печенеги, а еще война 1941 года , а путин не не причеМЫШЬ конченный.",2,43,1
"user, перед ними стоит выбор: уйти с поганой службы,либо идти против народа, продав свою совесть за зарплату. Сознательный человек предпочел бы уйти из карательных отрядов.",2,33,0
"Константин, а Вы не думаете, что у нас просто переклеют наклейки, как на просроченный товар в супермаркете? Или та же бигфарма таким путём сплавит сюда непонятно что? Да нет, ну что это я? У нас же коррупция давно побеждена!!! Всё в порядке, можете смело колоться!!!",2,47,1
"user, это тоже наверное.. но я говорил не о каких-то фундаментальных вещах, а просто о впечатлениях от наблюдения за людьми, за обывателями.. благо, я довольно много времени провел в юго-восточной Азии, в разных странах.. при этом, по-моим ощущениям, люди из буддистской культуры (хоть Тайланд, хоть более атеистичный Вьентам) не принципиально отличались от людей индуистской культуры.. в плане вышеприведенного поста..",2,38,0
"Глава МИД ФРГ Хайко Маас: ""Германия единолично развязала Вторую мировую войну нападением на Польшу. И только Германия несет ответственность за преступление против человечности Холокост. Кто сеет здесь сомнение и навязывает другим народам роль преступника, тот чинит несправедливость. Тот раскалывает Европу"" ни малого мужества ему это стоило. Но началось то с Чехии! а если бы он про это еще ляпнул. то на свет бы выполз мюнхенский сговор!",2,72,0
Вооо народ алочный пошол главное не подарок а внимание радуйтесь что помнят а не забывают,2,34,0
"Спасибо большое =) Поздравляю с праздником весны =) Любви и счастья, всегда отличного настроения! =)",2,27,0
"Все Кто Не Осознает ,Божественный План, бл... ,Вы Только ,Замедляете Этот Процесс...",2,36,0
"Равенство религий прописано в законе, против которого Церковь открыто не выступает. Всякая команда из 20 человек может зарегистрировать церковь и основная Церковь на сей счет не возмущается. Так чье попустительство утверждает равенство религий?",2,44,0
"user, глубина мысли единороссов человеку с таким низким уровнем сознания как у меня недоступна по определению",2,47,1
"пожалуйста, запишите меня на курс ""знакомство с теми, кто записался на ""знакомство с программным обеспечение графического дизайна""""",2,27,0
"Если вам нравится следить за собой, в чем проблема то? Следите? Кто ущемляет ваше право?)) Или толстяки тренажеры не дают в зале?) Или понто-пост??)",2,27,0
"а слово ""привет"" - чье любимое? по кому я скучаю, когда его говорю?) все вы умные, блин)",2,21,1
"user, Мне он лично помог,когда все отвернулись и всегда отвечал на мои вопросы и пытался помочь!Не то что некоторые люди",1,28,0
Кто-то ночами не спал думал...как избавиться от этой проблемы и при этом так чтоб не спалиться,1,17,0
"Lbp является тру-платформером, поэтому, от 8bit собратьев отличается только графоном и наличием продвинутой физики. Ирония не ясна. Ещё бы обстебали последнего марио, который, кстати, тоже псевдо2d и имеет каноничный геймплей.",2,27,0
"user, желаю таких же своих и в своей нише, в которой прям класс огонь",1,36,0
"Оба тупые. Мусор, который требует паспорт незаконно. Чел, который не может его грамотно отбрить. У меня такая ситуация в Москве была не раз. Паспорт ни разу не показывал.",2,47,0
"user, я могу догадываться почему, но это лучше не здесь обсуждать",1,29,0
"Я советую сериал Ганнибал, по мотивам одноименного фильма, в обычные будни уснуть будет сложно после просмотра, но ты же после пробежки, значит все равно уснешь, таким образом 2 зайца) А я, наоборот, будучи бегуном, 20 дней изучаю итальянский язык; сидеть и учить - это мучение!:)",2,26,0
Вкусный салатик . Не первый раз делаем ... А где вы рецепт взяли ? Так же любите экспериментировать ?,1,36,0
"Где связь? Ну вот где? Йо-йо тоже так на детей влияет? Разноцветные пластмассовые пружинки промывают мозг? А в начале прошлого века дети вообще с палкой за колесом бегали. Видимо, это их вообще интеллектуально убивало. Пишите про помои из зомбоящика, а сами верите первому попавшемуся посту в вк ))))",1,37,1
"Чёрт, меня эта мысль никогда не по кидала... Я просто не могла её грамотно сформулировать",1,32,0
"Носить????? Носить????если бы мой это носил то я бы засомневалась в его адекватности. А если бы я подарила то он тоже не понял бы. А вам автор хочется что бы муж в таких гонял? Хотя каждому свое, кто то же носит!",1,26,0
"user, что, совсем покинула родные пенаты? И совсем-совсем на родину не тянет?",1,44,0
"Они стартовали в гран-при - и им не на что было кормить команду? Если денег даже на хавчик не хватает, то откуда деньги на бронь гостиниц/переезды/прочие мелочи?",2,18,0
"Заходите ко мне YouTube страницу link, смотрите, оценивайте, пишите отзывы, комментарии... ПОДПИСЫВАЙТЕСЬ на мой КАНАЛ.",2,40,0
"А борщан то все баксики отрабатывает Не празднуют потому что это не наш праздник, у нас есть старый новый год он же святки он же колядки он же щёдрики по сути тоже самое что и хуйлоуин только про него большинство уже забыли",2,24,0
"Люблю Гитлера за его гениальные экономические реформы, наконец-то освободившие рабочий класс Германии от эксплуатации. Так держать, настоящий социалист",2,17,1
"Дееетка, ночью мне не нужна была минералка! Да и ты оборотень какой-то! Ночью нормальный людь с очень секасным телом, а днём - зануууда (не, это вечером) и жестокое мудло❤",2,18,0
"Спасибо, Сергей, за поздравление! Очень приятно! Поздравительная картинка - как елей на душу! Аккордеончик, Аккордеончик!",2,25,0
"user, да с чего два решения то?? Хоть у аппаратной, хоть у программной логики может быть сколько угодно выходов, которые могут содержать сколько угодно значений. Ты хотя бы о дешифраторе слышал?",2,29,0
"user, что именно не правда? Я написала что фрукты ПОЧТИ каждый день! Он не съедает так в шкафчик кладут.",1,38,0
"там в комментах есть годное WE WUZ от мира ислама. ""шведская культура - это жыдовская пропаганда, мюсли были в европе за сотни лет до жыдов, но последние теперь контролируют все правительства и все деньги""",2,25,0
"user, блин да они все украинцы как вы не понимаете, все что делали хорошее это украинцы, все что плохое это русские",1,29,1
Можно для java веб приложения писать скрипты в девелопер консоли браузера. Или копировать из ворда.,2,19,0
"да ладно)) расписали неизвестно что) Польша просто хотела отхапать себе приличный кусок земель у развалившейся Российской империи, хотя средств на это не имела..",2,27,0
"user, О чём речь я не мог не подметить это! да и считаю что более молодым девочкам есть чему у вас поучиться!",2,25,0
ггг)) Таня сегодня сказала что ее волнует мое психическое состояние)))) Все класс!!))),1,24,1
"Гудков одну за другой поправки вносит, все отклоняются голосованием. депутаты ЕР голосуют за себя и за отсутсвующих однопартийцев, это да",2,24,0
"Фото портрет с характером, в глазах видна ясная цель, тонкость ума и самодостаточность, чтобы быть творцом своей жизни!",1,40,0
"Да, Флеров прекрасно было в ноябре, представляю, как оно хорошо летом))",1,42,0
"Татьяна, его можно и как домашний ко тюм носить,хб трикотаж..;)суперского качества..;)",1,27,0
"user, это когда таджики на выборах голосовали?)Батенька Вы уж связь с реальностью не теряйте)",2,31,0
"user, да Настюш, наш дед был настоящим Героем. Великий человек в моем сердце.",1,31,0
"Ъ знак тамже где и ь, надо просто подержать подольше на клаве. А грибы эти надо собирать они же лечебные",1,42,0
"Леся, твоя жизнь кому-то интересна и захотели изнутри на неё посмотреть меня в ВК ещё не взламывали, а вот в ОК уже 2 раза(((",1,38,0
"user, ну больная голова на то и больная, может и 1888 год написатьа может и 2088, из будущего типа",2,26,0
"user, читайте историю страны. а потом и думайте... ведь именно Кудрин учил нынешнего президента экономике... Это по какой такой нужде он сотрудничает? по большой или малой?",2,70,0
"user, но какие красивые названия, хотя нет пупрурного, а многие студенты понятия не имеют как этот цвет выглядит",1,48,0
"Антон, почему же нет обоснования? оно есть, микролептоны Охатрина, правда официоз поэтому вопросу молчит. Опять же выше было видео, где дан отрывок из совесткого фильма - Путешествие в наномир в виде Краткий курс по мифологии.",2,43,0
"user, а там уже не о чем думать))) заболевшего работника просто уволят, а на его место нового возьмут. Предприниматели о личной безопасности то уж позаботятся), но не во вред бизнесу.",1,42,0
"user, спасибо) пока не знаю, какую проблему еще рассмотреть, но проблем то много)",2,24,0
"user, просто посмотри на цены в других странах ЭКСПОРТЕРАХ. Бензин имеет низкую себестоимость, а солярка так вообще отходы от производства бензина. Так почему она дороже 92го? Тут дело вовсе не в цене нефти. Я сейчас имею ввиду внутренний рынок.",2,23,0
"user, Тогда я первая в очередь,надо бровки подкоректировать. Когда есть свободное местечко?",1,36,0
"Валя!,здесь соглашусь полностю,мы должны делать всё!,чтобы вы ждали с согретым ужином,теплотой и лаской,я не отрицаю,это во многом зависит от нас.",2,33,0
"user, кандидаты есть. И не один. Достойные,народные. Просто их никогда по телевизору не показывают,туда им путь закрыт‍♂️",2,33,0
Ну многие выросли на Сектор газе и не стали наркоманами например,2,28,0
"Перевели люди молодые тему) молодежь вместо траура, празднуют, это у нас наверное нормально",2,33,1
это чо? категория клиентских портретов психиатора? cумасшедший бородач прячется за буквами?,2,95,0
"user, ога, желаю тебе в президенты Кадырова. Так будет лучше для всех. Он же хороший парень.",2,26,0
Спасибочки и тебя уже с наступившим правда всех благ вам в новом году!,1,28,0
user !,2,54,0
"не совсем анонимно вышло, но зато в сто раз интереснее! )",2,28,0
"user, ну удачи им, они нас так проклинают, что все едут в россию на заработки и щас каждая пятая машина в москве с украинскими номерами",1,29,1
"Igor, даже другу не говори то, что не хочешь, чтобы знал враг. Притчи 14:15 Глупый верит всякому слову, благоразумный же внимателен к путям своим.",2,44,0
Это не дочь а внучка любимая.Вы взрослая женщина а нести такую чушь а мама выкладывает на своей странице,1,34,0
"Может хотели карликовую а выросла большая))) читала такую историю, в итоге так и жил хозяин с огромной свиньей, ведь друг ))",1,28,0
Заключается договор купли-продажи на квартиру которую хотите купить и с ним за разрешением на продажу жилья в опеку на Гагарина,1,38,0
"user, странно, что здесь вообще русских нет. Ни Мазепина, который взял 2 место в гп 3 с первого раза(а если бы не штраф, было бы 1). И Шварцмана, и Сироткина нету, хотя едут лучше многих пилотов из списка.",2,16,0
"И я хочу такую фоточку , смотрю у многих заросли , а я обрезаю",1,46,0
Я в тот день на этих алкашей во обще обиделся ! Сволочи знают что мне на работу и набрали вискаря с текилой =(,2,25,0
"user, может МДК? если да, то я давно на него подписана",1,24,0
"Молитесь все на гундяева, он плохому не научит. Слава КПСС и КГБ.",2,64,1
"Точно таким же, как те, кто говорят, что рос СМИ не врут, не нарезают угодные кому-то сюжеты и ничего не скрывают, что Соловьев не продается и не подстраивается, что Навальный хочет процветания России, что космоса нет, что рак содой лечится, что прививки - зло, что пальмовое масло вредно, что монооксид дигидрогена - отрава, которой поют все население планеты. Я походу могу вечно перечислять",2,28,0
